region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,longmon,longten,internet,ebill,loglong,logequi,logcard,logwire,lninc,custcat,churn
2,13,44,1,9,64,4,5,0,0,2,3.7,37.45,0,0,1.30833282,,2.014903021,,4.158883083,1,1
3,11,33,1,7,136,5,5,0,0,6,4.4,42,0,0,1.481604541,,2.724579503,3.575150689,4.912654886,4,1
3,68,52,1,24,116,1,29,0,1,2,18.15,1300.6,0,0,2.898670561,,3.409496184,,4.753590191,3,0
2,33,33,0,12,33,2,0,0,1,1,9.45,288.8,0,0,2.246014742,,,,3.496507561,1,1
2,23,30,1,9,30,1,2,0,0,4,6.3,157.05,0,0,1.840549633,,,,3.401197382,3,0
2,41,39,0,17,78,2,16,0,1,1,11.8,487.4,0,0,2.468099531,,2.602689685,,4.356708827,3,0
3,45,22,1,2,19,2,4,0,1,5,10.9,504.5,1,1,2.388762789,,2.1690537,,2.944438979,2,1
2,38,35,0,5,76,2,10,0,0,3,6.05,239.55,1,1,1.800058272,3.914021008,3.146305132,4.172847624,4.33073334,4,0
3,45,59,1,7,166,4,31,0,0,5,9.75,449.05,0,0,2.277267285,,2.48490665,,5.111987788,3,0
1,68,41,1,21,72,1,22,0,0,3,24.15,1659.7,0,0,3.18428438,,2.803360381,,4.276666119,2,0
2,5,33,0,10,125,4,5,0,1,1,4.85,17.25,1,1,1.578978705,3.263849191,,,4.828313737,1,1
3,7,35,0,14,80,2,15,0,1,1,7.1,47.45,0,0,1.960094784,,3.16758253,,4.382026635,3,0
1,41,38,1,8,37,2,9,0,1,3,8.55,308.7,0,0,2.145931283,,3.731699451,,3.610917913,1,0
2,57,54,1,30,115,4,23,0,1,3,15.6,825.35,1,1,2.747270914,3.843744165,,4.111693201,4.744932128,4,1
2,9,46,0,3,25,1,8,0,1,2,4.4,36.8,0,0,1.481604541,,,,3.218875825,1,0
1,29,38,1,12,75,5,1,0,0,4,5.1,146.25,1,0,1.62924054,3.409496184,2.420368129,,4.317488114,2,0
3,60,57,0,38,162,2,30,0,0,1,16.15,946.9,0,0,2.78192005,3.443618098,3.401197382,,5.087596335,3,0
3,34,48,0,3,49,2,6,0,1,3,6.65,230.8,0,0,1.894616855,,,,3.891820298,3,0
2,1,24,0,3,20,1,3,0,0,1,1.05,1.05,0,0,0.048790164,,,,2.995732274,1,0
1,26,29,1,3,77,4,2,0,0,4,6.7,140.95,1,1,1.902107526,3.873282177,3.188416617,3.645449896,4.343805422,4,1
3,6,30,0,7,16,3,1,0,1,1,3.75,25.65,1,0,1.32175584,3.520460802,,2.928523524,2.772588722,2,1
1,68,52,1,17,120,1,24,0,0,2,20.7,1391.05,0,0,3.0301337,,3.091042453,,4.787491743,1,0
3,53,33,0,10,101,5,4,0,1,2,5.3,253.35,1,1,1.667706821,3.903990834,3.286534473,3.939638172,4.615120517,4,0
3,55,48,1,19,67,1,25,0,0,3,15.05,810.45,0,0,2.711377991,,3.305053521,,4.204692619,1,0
3,14,43,1,18,36,1,5,0,0,5,12.5,153.75,0,0,2.525728644,,2.890371758,,3.583518938,3,0
2,1,21,0,0,33,2,0,0,1,3,2.2,2.2,0,0,0.78845736,,3.701301974,,3.496507561,3,0
2,42,40,0,7,37,2,8,0,1,1,8.25,399.15,1,1,2.1102132,3.608211551,3.33220451,3.621670704,3.610917913,4,0
3,25,33,1,11,31,1,5,0,0,4,9.1,234.95,0,0,2.208274414,,,,3.433987204,3,0
1,9,21,1,1,17,2,2,0,1,3,2.9,25.25,0,0,1.064710737,,,,2.833213344,1,0
2,13,33,1,9,19,4,0,0,1,2,5.55,75.25,1,1,1.713797928,3.308716529,,,2.944438979,2,0
1,56,37,1,6,36,1,13,0,1,2,10.6,582.6,1,1,2.360854001,3.437207819,2.90416508,,3.583518938,2,0
1,71,53,1,27,155,5,12,0,0,2,21,1519.2,1,1,3.044522438,,3.526360525,3.911022505,5.043425117,4,0
1,35,50,1,26,140,2,21,0,1,4,6.5,247.55,0,0,1.871802177,,3.555348061,,4.941642423,3,0
1,11,27,1,8,55,5,0,0,0,3,4.8,54.1,1,0,1.568615918,2.972975286,,,4.007333185,2,0
2,60,46,1,13,163,3,24,0,0,2,33.9,1947.95,1,1,3.523415014,3.798854307,2.621038824,4.01186834,5.093750201,4,0
3,20,35,1,11,52,4,0,0,0,2,4.25,82.7,1,1,1.446918983,3.419364686,,,3.951243719,2,1
2,54,60,0,38,211,4,25,0,0,1,21.15,1228.7,1,1,3.051639905,3.836221292,3.993602992,4.004602187,5.351858133,4,0
1,44,57,1,1,186,2,17,0,0,2,9.8,428.25,0,0,2.282382386,,3.583518938,3.729301369,5.225746674,3,0
1,11,41,1,0,39,1,1,0,1,2,6.55,67.8,0,0,1.87946505,,2.983153491,,3.663561646,3,1
2,72,57,0,34,22,2,35,1,1,1,41.75,3043.05,0,0,3.731699451,,2.931193752,,3.091042453,3,0
3,10,41,0,7,30,1,7,0,0,1,2.5,31.25,0,0,0.916290732,,3.984343667,,3.401197382,3,0
2,15,28,0,0,29,2,4,0,1,1,4.25,78,0,0,1.446918983,,2.876385516,,3.36729583,3,0
2,27,28,1,4,23,2,8,0,0,5,6.2,180.15,0,0,1.824549292,,,,3.135494216,1,0
1,9,36,1,14,62,4,10,0,0,6,5.65,43.3,1,1,1.731655545,3.844814256,,3.881563798,4.127134385,4,1
1,64,43,1,20,76,4,20,0,1,4,14.7,897.05,0,0,2.687847494,,2.397895273,,4.33073334,3,0
1,65,41,1,3,74,4,16,0,0,2,14.5,963.3,1,1,2.674148649,3.610917913,2.833213344,,4.304065093,2,0
1,49,51,1,27,63,4,19,0,0,5,12.85,585.6,1,1,2.553343811,,2.656756907,,4.143134726,2,0
3,47,41,1,0,36,4,8,0,0,2,7.75,361,1,1,2.047692843,3.62300671,2.917770732,3.658420247,3.583518938,4,1
3,9,34,1,9,33,2,8,0,1,4,2.95,18.9,0,0,1.08180517,3.133317937,,,3.496507561,1,1
1,5,36,0,14,29,2,9,0,1,1,3.25,16.8,1,1,1.178654996,,2.740840024,3.286534473,3.36729583,3,1
2,30,34,1,4,27,2,1,0,0,5,6.3,150.9,1,0,1.840549633,3.113515309,,,3.295836866,1,1
1,56,52,1,28,49,2,12,0,0,4,24.75,1349.05,0,0,3.208825489,,3.102342009,,3.891820298,2,0
3,10,22,0,0,24,4,0,0,0,1,7.8,63,1,1,2.054123734,3.617651945,3.113515309,3.402862661,3.17805383,4,0
1,7,26,1,3,26,2,2,0,0,5,4.85,33.7,0,0,1.578978705,,,,3.258096538,1,0
1,52,27,0,6,47,3,5,0,0,2,6.25,330.4,0,1,1.832581464,,2.656756907,,3.850147602,1,0
2,36,45,1,1,94,2,18,0,1,5,7.2,258.75,1,0,1.974081026,3.34462703,,,4.543294782,1,1
3,27,34,0,8,21,3,4,0,1,1,7.65,213.45,0,0,2.034705648,,,,3.044522438,2,0
1,58,62,1,36,27,1,0,0,0,2,15.5,967.1,0,0,2.740840024,,3.540959324,,3.295836866,1,0
2,41,52,0,27,30,2,2,0,1,1,10.4,447.85,0,0,2.341805806,,2.944438979,3.314186005,3.401197382,3,0
2,47,40,1,16,127,4,12,0,1,4,19.7,909.9,1,1,2.980618636,3.337547355,2.691243083,,4.844187086,2,0
2,55,39,1,15,137,2,20,0,1,2,12.7,676.9,0,0,2.541601993,,2.442347035,,4.919980926,3,1
2,56,50,1,1,80,2,24,0,1,4,28.8,1558.1,0,0,3.360375387,,3.056356895,4.112511866,4.382026635,4,0
3,35,55,0,24,30,2,2,0,0,1,10.25,395.85,0,0,2.327277706,,2.756840365,,3.401197382,1,0
2,69,51,1,11,438,4,23,0,1,2,29,1815.4,1,0,3.36729583,3.851210866,3.208825489,,6.08221891,4,0
2,44,39,0,16,79,2,16,0,0,1,15.25,653.7,1,1,2.724579503,3.62300671,3.305053521,3.402862661,4.369447852,4,1
3,36,47,1,16,63,1,23,0,0,2,9.05,373.65,0,0,2.202764758,,1.909542505,,4.143134726,1,0
3,28,51,1,22,40,3,10,0,1,6,8.95,253.55,0,0,2.191653532,,,,3.688879454,3,0
1,72,67,1,44,51,1,34,1,0,2,57.05,4168.25,0,0,4.043928076,,2.957511061,,3.931825633,3,0
1,16,27,0,5,37,3,5,0,0,4,6,80.7,0,0,1.791759469,,,,3.610917913,1,0
3,3,43,0,19,61,4,11,0,1,1,3.15,7.9,1,1,1.147402453,3.305053521,2.788092909,2.887590115,4.110873864,1,1
1,40,57,1,15,22,2,9,0,0,2,8.55,381.5,0,0,2.145931283,,2.983153491,,3.091042453,1,0
3,16,39,0,6,44,4,3,0,1,1,6.6,96.3,1,1,1.887069649,3.148453361,,,3.784189634,2,0
1,20,42,0,4,17,3,5,0,0,1,7.8,175.85,0,0,2.054123734,,,,2.833213344,1,0
2,48,43,0,13,110,5,15,0,1,3,7.25,359.35,1,1,1.981001469,3.511545439,,3.027715319,4.700480366,2,0
2,64,48,1,13,91,2,24,0,0,2,24.5,1531.9,0,0,3.198673118,,2.525728644,3.389462125,4.510859507,3,0
1,8,46,0,3,46,2,8,0,0,1,3.15,16.65,1,1,1.147402453,3.220873828,,,3.828641396,1,0
1,40,38,1,10,85,3,12,0,0,2,10.6,384.8,0,0,2.360854001,,,,4.442651256,3,1
2,38,71,0,27,10,2,12,1,0,1,11.2,429.85,0,0,2.415913778,,,,2.302585093,1,0
1,67,68,0,28,244,1,47,0,1,1,30.25,2186.2,0,0,3.409496184,,3.425889994,,5.497168225,3,0
1,26,42,0,0,80,4,15,0,1,1,7.85,196.65,1,1,2.060513532,3.903990834,2.351375257,3.778491613,4.382026635,4,0
3,41,34,1,15,83,5,1,0,1,2,8.9,379.55,1,0,2.186051277,,1.749199855,,4.418840608,4,0
2,2,31,0,2,21,1,6,0,0,1,1.65,3.2,0,0,0.500775288,3.072693315,,,3.044522438,1,1
3,20,48,1,29,24,2,3,0,0,2,11.85,230.7,0,0,2.472327868,,3.555348061,,3.17805383,4,1
2,31,53,0,2,351,3,31,0,1,1,5.5,185.3,0,0,1.704748092,,2.957511061,,5.860786223,3,0
2,45,52,1,4,169,4,29,0,1,4,14.65,618.15,1,0,2.684440335,3.700066644,2.656756907,,5.129898715,2,0
2,33,27,1,7,46,2,7,0,0,4,7.25,243.35,0,1,1.981001469,3.372454913,,,3.828641396,1,0
1,10,26,0,6,34,3,3,0,0,1,4.85,41.85,0,0,1.578978705,3.321432413,,,3.526360525,2,0
2,62,54,1,2,50,4,3,0,0,2,17.25,1067.8,1,1,2.847812143,3.871201011,4.471638793,3.504054767,3.912023005,4,1
2,4,35,0,16,161,5,6,0,1,1,3.4,10.35,1,1,1.223775432,3.908014984,,3.576550269,5.081404365,4,1
1,42,47,1,17,212,4,17,0,0,2,7.45,320.9,0,0,2.008214032,,3.208825489,,5.356586275,3,0
3,27,51,1,3,80,5,11,0,0,3,7.1,176.2,1,1,1.960094784,3.673765816,,,4.382026635,2,0
2,38,42,0,1,30,4,7,0,1,1,13.2,495.85,0,0,2.58021683,,,,3.401197382,1,0
3,52,61,1,3,53,5,1,0,1,2,12.25,631.7,1,1,2.505525937,3.64805746,2.1690537,3.582129084,3.970291914,2,0
3,35,33,0,9,73,5,4,0,1,1,5.85,216.6,1,1,1.766441661,,3.102342009,3.697591395,4.290459441,4,0
3,3,20,1,1,17,2,0,0,1,4,3.75,12.3,0,1,1.32175584,,,,2.833213344,1,1
2,17,33,0,9,23,5,3,0,0,1,10.2,196.3,1,1,2.32238772,3.594568775,2.674148649,3.430756184,3.135494216,4,1
1,55,53,1,21,34,1,8,0,0,2,5.7,304.4,0,0,1.740466175,,,,3.526360525,3,0
3,43,36,1,5,107,1,19,0,1,3,11.55,491.55,0,0,2.446685437,,3.068052935,,4.672828834,2,1
2,47,25,1,5,21,1,1,0,1,2,8.65,426.6,0,0,2.157559321,,2.197224577,,3.044522438,3,1
3,65,58,0,30,83,2,16,0,1,1,19.3,1323.2,0,0,2.960105096,,3.124565145,,4.418840608,2,0
1,13,20,0,1,17,3,0,0,0,5,3.05,40.3,1,1,1.115141591,3.443618098,2.63905733,,2.833213344,4,0
3,64,25,1,4,76,3,2,0,1,6,24.05,1536.55,0,1,3.180134997,3.56671182,3.056356895,,4.33073334,3,0
2,12,24,0,2,19,1,0,0,0,1,4,46,0,0,1.386294361,,3.305053521,,2.944438979,3,1
1,29,32,1,0,49,4,3,0,1,3,6.7,187,1,1,1.902107526,3.496507561,,,3.891820298,2,1
2,23,47,0,21,173,3,22,0,1,1,7.6,145.9,0,1,2.028148247,,,,5.153291594,2,0
2,14,35,0,4,47,3,10,0,1,1,5,76.2,0,1,1.609437912,,,3.18428438,3.850147602,2,1
1,35,61,0,23,41,2,11,0,0,1,9.6,353.55,0,0,2.261763098,,2.251291799,,3.713572067,1,0
3,26,39,0,8,105,3,13,0,1,1,6.6,159.7,0,1,1.887069649,,3.617651945,3.64414356,4.65396035,4,0
1,13,54,0,2,31,4,2,0,0,1,5.85,97,1,1,1.766441661,,,,3.433987204,1,0
2,69,40,1,13,41,2,17,0,0,3,25.25,1725.1,0,0,3.228826156,,3.496507561,,3.713572067,2,0
3,61,50,1,30,102,4,9,0,1,3,12.6,760.3,1,1,2.533696814,,2.525728644,,4.624972813,2,0
2,45,22,1,2,36,4,0,0,1,5,9.95,412.1,0,0,2.297572551,3.263849191,,,3.583518938,2,1
2,3,37,0,13,24,1,3,0,1,1,2,3.05,0,1,0.693147181,,,,3.17805383,1,0
2,53,22,0,1,25,4,0,0,0,2,12.05,666,1,1,2.48906466,3.301377046,1.871802177,,3.218875825,2,0
1,59,42,0,1,68,2,21,0,1,1,17.3,997.85,0,0,2.850706502,,2.957511061,,4.219507705,3,0
1,13,34,0,11,20,3,0,0,1,1,4.8,71.05,1,0,1.568615918,,,,2.995732274,1,0
3,31,31,0,4,48,1,15,0,0,1,3.8,127.7,0,0,1.335001067,,,,3.871201011,3,0
1,40,29,1,6,40,2,8,0,1,5,13,502.95,0,0,2.564949357,,,,3.688879454,3,0
1,48,55,0,15,79,1,25,0,0,1,13.8,668.65,0,0,2.624668592,,3.238678452,,4.369447852,3,0
3,3,31,0,1,28,1,0,0,0,1,3.45,13.3,1,0,1.238374231,3.148453361,3.157000421,,3.33220451,1,1
2,51,48,0,12,64,2,22,0,1,1,14.8,708.45,0,0,2.694627181,,2.833213344,,4.158883083,1,0
3,33,41,0,15,37,2,11,0,0,1,12.2,415.05,0,0,2.501435952,,,,3.610917913,1,0
3,14,47,1,7,48,1,13,0,0,2,4.25,55.5,0,0,1.446918983,,,,3.871201011,1,0
1,17,42,1,6,131,5,6,0,0,3,5.8,103.1,1,1,1.757857918,3.565298392,,3.075005454,4.875197323,2,1
3,19,29,1,9,18,2,2,0,0,3,5.4,108.5,1,1,1.686398954,,,,2.890371758,1,1
2,58,36,0,10,38,2,14,0,1,1,10.15,538.65,0,0,2.317473705,,2.876385516,,3.63758616,2,0
3,22,23,0,3,37,2,4,0,1,3,5.35,144.05,1,1,1.677096561,3.335769576,2.197224577,3.206803244,3.610917913,4,0
2,29,31,1,1,60,4,6,0,0,5,9.6,243.9,1,1,2.261763098,3.286534473,,,4.094344562,2,1
3,14,22,1,2,13,3,0,0,1,4,9.45,117.55,1,0,2.246014742,3.290265821,,,2.564949357,2,1
2,70,64,1,18,98,1,31,0,1,2,26.15,1805.1,0,0,3.263849191,,2.420368129,3.816612821,4.584967479,4,0
1,62,52,1,2,195,1,23,0,0,2,23.15,1420.95,0,0,3.141994781,,3.583518938,3.535145354,5.272999559,3,1
2,7,35,1,0,47,1,14,0,0,5,5.2,46.9,0,0,1.648658626,,,,3.850147602,1,1
1,56,47,1,19,65,2,22,0,0,3,12.4,744.45,0,0,2.517696473,,3.597312261,4.06731589,4.17438727,4,0
1,50,50,1,22,150,5,5,0,1,4,19.3,930.8,1,1,2.960105096,3.5085559,3.926911618,,5.010635294,2,1
2,57,39,0,6,106,5,8,0,0,1,9.05,568.15,0,0,2.202764758,3.734091797,2.505525937,3.678829118,4.663439094,3,0
3,2,40,0,19,51,4,14,0,1,1,4.25,6.8,1,1,1.446918983,,,,3.931825633,1,0
2,40,38,0,17,96,4,0,0,1,1,9.3,316.05,0,0,2.2300144,,,,4.564348191,1,0
2,6,43,0,4,33,5,7,0,0,2,4.25,30,0,0,1.446918983,,2.788092909,3.286534473,3.496507561,3,0
3,23,25,1,6,38,2,1,0,1,3,13.9,255,0,0,2.63188884,3.349904087,1.32175584,,3.63758616,3,0
3,11,32,0,6,125,4,5,0,0,1,3.8,31.75,1,1,1.335001067,4.118223836,2.944438979,4.064744092,4.828313737,4,1
1,29,37,1,13,145,5,0,0,1,4,8.6,241.45,1,0,2.151762203,3.717223927,2.876385516,3.33220451,4.976733742,4,0
1,42,44,1,2,99,2,21,0,0,3,22.05,841.55,0,0,3.093312602,,2.277267285,,4.59511985,3,0
1,20,34,1,2,22,4,0,0,1,3,4.85,75.45,1,1,1.578978705,3.556775613,3.548179572,3.454738149,3.091042453,4,0
2,72,60,1,21,31,1,38,1,0,2,32.25,2349.25,0,0,3.473518043,,3.511545439,,3.433987204,2,0
1,2,36,0,3,25,1,6,0,1,1,1.9,3.6,0,0,0.641853886,3.356897123,1.609437912,3.18428438,3.218875825,3,0
3,46,25,0,5,57,5,0,0,1,2,20.25,923.95,1,1,3.008154794,3.673765816,2.277267285,3.34462703,4.043051268,1,0
2,39,51,1,21,41,5,20,0,0,6,12.1,492.8,1,1,2.493205453,3.994524227,2.277267285,3.565298392,3.713572067,4,0
3,24,25,1,1,20,3,1,0,1,2,8.15,209.35,1,0,2.098017927,3.3304172,,,2.995732274,2,1
3,59,43,1,4,101,2,22,0,1,5,13.65,817.65,0,0,2.613739522,,3.032546247,,4.615120517,2,0
1,65,37,0,8,56,2,15,0,0,1,10.25,681.95,0,0,2.327277706,,2.374905755,,4.025351691,2,0
2,50,27,1,5,22,2,5,0,1,3,17.2,893.3,0,0,2.844909384,,2.583997552,,3.091042453,1,0
1,57,37,0,11,108,4,9,0,1,1,21.8,1292,1,0,3.08190997,3.737669618,2.079441542,,4.682131227,3,0
3,61,48,0,14,115,4,20,0,1,1,12.8,785.7,1,1,2.549445171,3.668676747,2.847812143,3.433987204,4.744932128,4,0
3,34,54,0,31,53,4,22,0,0,1,8.1,225.4,1,1,2.091864062,3.819907717,4.034240638,4.203198967,3.970291914,4,0
3,38,53,0,13,242,4,12,0,0,1,8.95,396.35,0,1,2.191653532,3.990834186,3.349904087,3.926911618,5.488937726,4,0
1,3,24,1,2,20,2,3,0,1,5,3.35,7.55,1,0,1.208960346,,2.224623552,,2.995732274,3,0
2,4,47,0,5,123,4,11,0,0,1,2.5,9.25,1,1,0.916290732,3.230804396,2.621038824,,4.812184355,1,0
2,15,35,0,0,34,1,12,0,0,1,3.95,47.95,0,0,1.373715579,,,,3.526360525,1,0
1,25,29,1,8,31,4,3,0,1,5,12.95,348.9,1,1,2.561095788,3.498021566,,,3.433987204,2,1
3,21,44,0,25,47,1,12,0,1,2,7.05,182.3,0,0,1.953027617,,2.674148649,,3.850147602,3,0
3,50,37,1,11,48,3,8,0,1,2,12.9,669.75,0,0,2.557227311,,2.1690537,,3.871201011,3,0
2,65,64,1,22,13,2,5,1,1,3,14.6,921.7,0,0,2.681021529,,2.756840365,,2.564949357,3,0
2,59,52,1,18,78,1,25,0,0,2,18.6,1179.05,0,0,2.923161581,,,,4.356708827,1,0
3,29,26,0,7,34,1,7,0,1,2,6.5,198.7,0,0,1.871802177,,2.772588722,,3.526360525,3,0
1,60,46,0,17,81,5,9,0,1,1,17.45,1067,1,1,2.859339649,3.669951444,2.327277706,,4.394449155,2,0
1,71,45,1,14,86,2,25,0,0,2,45.05,3235.9,1,0,3.807772984,3.496507561,3.555348061,,4.454347296,2,0
3,38,27,1,0,26,4,2,0,0,4,12.2,477.5,1,1,2.501435952,3.657130756,2.224623552,3.333988632,3.258096538,4,1
3,16,34,1,5,51,2,8,0,1,5,4.7,61.5,0,0,1.547562509,,2.803360381,,3.931825633,1,0
3,7,31,0,10,59,3,10,0,0,1,2.45,16.35,0,1,0.896088025,3.394508394,,,4.077537444,1,0
1,59,53,0,21,112,4,16,0,0,1,21.1,1236.3,1,1,3.04927304,3.6519561,,3.230804396,4.718498871,2,1
2,22,56,1,14,57,4,28,0,0,2,6.2,135.2,1,0,1.824549292,3.601413428,2.351375257,3.360375387,4.043051268,4,0
1,18,48,1,20,41,1,2,0,1,2,4.35,59.15,0,0,1.470175845,,2.079441542,,3.713572067,1,0
2,64,46,1,19,168,2,26,0,1,2,14.2,928.8,1,1,2.653241965,4.301358732,3.657130756,4.134366237,5.123963979,4,0
2,7,33,0,4,29,4,4,0,1,3,4.65,35.45,1,1,1.53686722,3.34462703,,,3.36729583,1,1
3,65,58,0,13,167,2,14,0,1,2,24.3,1642.35,0,0,3.19047635,,2.847812143,,5.117993812,2,0
3,7,24,0,5,29,2,3,0,0,3,4.45,43.7,1,0,1.492904096,,,,3.36729583,1,1
1,64,55,0,28,104,1,26,0,1,1,15,960.95,0,0,2.708050201,,3.669951444,,4.644390899,3,0
3,42,22,1,0,46,4,0,0,0,2,9.35,311.85,1,0,2.235376343,3.938664936,1.791759469,3.583518938,3.828641396,4,1
3,33,26,0,5,46,4,1,0,1,3,11,350.05,1,1,2.397895273,3.711130063,1.791759469,3.467297183,3.828641396,4,0
1,3,33,0,8,51,4,0,0,1,1,2.9,12.05,0,0,1.064710737,2.990719732,,,3.931825633,1,1
2,69,42,1,11,65,2,18,0,0,2,14.2,1007.5,1,1,2.653241965,4.162003211,3.449987546,4.197953545,4.17438727,4,0
2,9,33,0,1,48,2,13,0,0,2,3.15,39.75,0,0,1.147402453,,3.417726684,,3.871201011,1,0
3,22,34,1,1,46,3,1,0,0,4,7.1,125.05,1,0,1.960094784,3.152736022,,,3.828641396,2,0
2,53,63,1,15,43,2,18,0,0,2,14.85,808.95,1,1,2.697999865,3.610917913,2.397895273,,3.761200116,2,0
3,71,53,0,30,110,1,34,0,0,1,17.45,1249.8,0,0,2.859339649,,2.691243083,,4.700480366,2,0
3,24,26,0,2,32,3,2,0,0,3,4.25,97.35,0,1,1.446918983,,,,3.465735903,1,0
3,12,22,1,1,18,3,0,0,1,2,4.65,57.7,1,1,1.53686722,,,,2.890371758,1,0
1,25,39,1,1,26,4,0,0,0,4,14.45,349.9,1,1,2.670694415,3.582129084,3.135494216,3.208825489,3.258096538,2,1
3,63,28,1,9,34,2,10,0,1,6,15,934.05,0,0,2.708050201,,2.862200881,3.808882247,3.526360525,3,0
1,33,54,1,18,57,4,4,0,1,3,7.5,226.25,1,0,2.014903021,3.523415014,,,4.043051268,3,1
2,57,54,1,20,21,2,0,0,1,3,10.6,565.55,0,0,2.360854001,,2.833213344,,3.044522438,1,0
3,13,33,0,7,38,3,10,0,1,1,5.05,48.6,1,1,1.619388243,3.708682081,2.525728644,3.362109993,3.63758616,4,0
1,13,21,0,2,19,3,0,0,1,1,7.9,98.35,1,0,2.066862759,3.226843995,1.609437912,,2.944438979,2,1
1,71,39,0,2,40,3,17,0,0,1,36.25,2553.7,0,0,3.590439381,,3.650658241,,3.688879454,3,0
3,18,69,1,11,58,3,8,0,0,2,6.35,118.05,1,1,1.848454813,3.988057692,2.463853241,4.143134726,4.060443011,4,0
1,17,51,1,10,95,2,15,0,1,2,7.45,132.9,0,0,2.008214032,,,,4.553876892,1,1
2,22,43,0,4,114,2,19,0,0,1,9.25,202.8,0,0,2.224623552,3.122364924,,,4.736198448,1,0
2,65,65,1,27,128,3,24,0,0,2,21.2,1325.05,0,0,3.054001182,,2.674148649,,4.852030264,3,0
